t,y,theory_density,kde_density
2.8,0.14,0.0004808734307812282,0.0002691462126457372
2.8,0.145,0.0005235569304937003,0.0003291405830808551
2.8,0.15,0.0005688912345857488,0.0003980277399812708
2.8,0.155,0.0006170063028475469,0.00047610483306515314
2.8,0.16,0.0006680383117685415,0.0005634790770510466
2.8,0.165,0.0007221298359686786,0.0006600507875286431
2.8,0.17,0.0007794300355213594,0.0007655065981176192
2.8,0.17500000000000002,0.0008400948491393768,0.0008793234526251848
2.8,0.18,0.000904287193187877,0.0010007829176326736
2.8,0.185,0.0009721771664847488,0.001128994370808985
2.8,0.19,0.0010439422608488058,0.0012629248478256882
2.8,0.195,0.0011197675773382276,0.0014014329070153356
2.8,0.2,0.001199846048128294,0.0015433038695025405
2.8,0.20500000000000002,0.0012843786639652687,0.0016872842102434273
2.8,0.21,0.0013735747071236947,0.0018321136276442248
2.8,0.215,0.0014676519897948404,0.0019765542533779715
2.8,0.22,0.0015668370978191497,0.0021194173882408537
2.8,0.225,0.0016713656396709269,0.0022595888748741274
2.8,0.23,0.0017814825005964528,0.002396054598967098
2.8,0.23500000000000001,0.001897442101795379,0.0025279275811450346
2.8,0.24,0.002019508664526534,0.002654477712014449
2.8,0.245,0.002147956479011942,0.002775164512442604
2.8,0.25,0.0022830701780004185,0.002889672550248368
2.8,0.255,0.002425145014843197,0.002997948507249014
2.8,0.26,0.0025744871459230335,0.003100238522460616
2.8,0.265,0.0027314139172668526,0.0031971244093334634
2.8,0.27,0.0028962541551612172,0.003289557618496847
2.8,0.275,0.003069348460577236,0.0033788902467901376
2.8,0.28,0.0032510495071992897,0.0034669027583195205
2.8,0.28500000000000003,0.003441722342840315,0.0035558281464267635
2.8,0.29,0.003641744694010866,0.0036483718400160655
2.8,0.295,0.0038515072734000254,0.003747725670534717
2.8,0.3,0.004071414090006644,0.003857572749021756
2.8,0.305,0.004301882761650676,0.003982078401003344
2.8,0.31,0.004543344829576149,0.00412586074826468
2.8,0.315,0.004796246074843448,0.004293933556459388
2.8,0.32,0.005061046836194717,0.004491614013406156
2.8,0.325,0.005338222329058143,0.004724389481991409
2.8,0.33,0.005628262965341958,0.004997740113272149
2.8,0.335,0.005931674673654395,0.005316918403271561
2.8,0.34,0.006248979219566239,0.00568669198052479
2.8,0.34500000000000003,0.006580714525518859,0.006111061559334981
2.8,0.35000000000000003,0.006927434989959847,0.006592971383416226
2.8,0.355,0.007289711805276635,0.007134033866521924
2.8,0.36,0.007668133274073594,0.0077342928177611585
2.8,0.365,0.00806330512332831,0.008392050081007399
2.8,0.37,0.00847585081593684,0.00910377831472099
2.8,0.375,0.008906411859147695,0.009864137968512505
